emp_no,first_name,last_name,title,from_date,to_date,dept_name
104710,Munenori,Trogemann,Senior Staff,1/12/1996,1/1/9999,Sales
104711,Herb,Vural,Senior Engineer,5/26/1987,1/1/9999,Production
104718,Lorien,Brandsma,Engineer,4/27/1987,4/26/1992,Development
104736,Shuky,Birke,Engineer,11/28/1987,11/27/1996,Production
104745,Hongzhu,Lichtner,Engineer,10/7/1999,1/1/9999,Development
104748,Xianlong,Bennet,Senior Staff,1/18/1992,1/1/9999,Customer Service
104753,Along,Zongker,Technique Leader,11/13/1997,1/1/9999,Quality Management
104755,Tetsurou,Zschoche,Engineer,8/22/1987,8/21/1992,Production
104760,Gian,Gulla,Technique Leader,9/28/1994,1/1/9999,Development
104767,Venkatesan,Hinsberger,Senior Staff,11/15/1994,1/1/9999,Marketing
104772,Yannik,VanScheik,Staff,7/11/1999,1/1/9999,Sales
104779,Sergi,Hartvigsen,Engineer,9/22/1986,9/22/1995,Development
104783,Lech,Mullainathan,Senior Staff,11/8/1988,1/1/9999,Finance
104785,Przemyslawa,Porotnikoff,Senior Staff,7/11/2001,1/1/9999,Research
104801,Fatemeh,Hardjono,Senior Staff,11/1/1987,1/1/9999,Research
104819,Rildo,Granlund,Senior Staff,12/22/1990,1/1/9999,Marketing
104852,Theirry,Munawer,Senior Engineer,1/28/1995,1/1/9999,Production
104866,Anestis,Gelosh,Senior Staff,10/23/1996,1/1/9999,Sales
104870,Nectarios,Peltason,Senior Staff,4/11/1994,1/1/9999,Sales
104875,Francesca,Schrooten,Engineer,9/27/1994,9/27/2001,Production
104877,Arif,DasSarma,Senior Staff,2/9/1994,1/1/9999,Customer Service
104882,Gererd,Asrin,Technique Leader,5/15/1987,1/1/9999,Production
104894,Phule,Schaft,Senior Staff,2/1/1991,1/1/9999,Research
104897,Marl,Merks,Engineer,1/29/1998,1/1/9999,Production
104911,Sanjai,Kruskal,Senior Staff,3/10/2002,1/1/9999,Marketing
104921,Kellie,Chandrasekhar,Engineer,6/13/1988,6/13/1997,Production
104929,Radhia,Oppitz,Senior Staff,5/17/1992,1/1/9999,Finance
104931,Kristin,Delaune,Staff,12/4/1999,1/1/9999,Sales
104939,Armond,Masamoto,Engineer,11/5/1985,11/5/1994,Development
104941,Yonghong,Schaap,Engineer,4/13/1994,4/13/2002,Development
104945,Gro,Polupanov,Engineer,2/17/1988,2/17/1995,Development
104977,Shounak,Yetim,Assistant Engineer,12/28/1985,12/28/1994,Production
104993,Takahiro,Sluis,Senior Staff,4/18/1988,1/1/9999,Marketing
105002,Jingling,Millington,Senior Staff,10/15/1986,1/1/9999,Sales
105033,Takahira,Quadeer,Engineer,7/2/1999,1/1/9999,Development
105040,Vojin,Erbe,Senior Engineer,4/2/1988,1/1/9999,Development
105053,Gian,Vernadat,Senior Staff,12/22/1996,1/1/9999,Human Resources
105060,Manu,Rosin,Senior Staff,6/22/1998,1/1/9999,Sales
105072,Gennadi,Atchley,Engineer,8/28/1999,1/1/9999,Production
105075,Kiyotoshi,Keohane,Engineer,6/5/1985,6/5/1990,Production
105081,Yechezkel,Gyorkos,Engineer,5/30/1985,5/30/1990,Quality Management
105085,Mamdouh,Bach,Senior Staff,4/18/1991,1/1/9999,Research
105093,Lalit,Fontet,Senior Staff,3/22/1985,1/1/9999,Research
105095,Steen,Leppanen,Assistant Engineer,1/17/1987,1/16/1993,Development
105100,Boguslaw,Fabrizio,Engineer,3/31/1995,1/1/9999,Production
105103,Elvis,Zambonelli,Senior Engineer,8/14/1987,1/1/9999,Development
105120,Dannz,Litzler,Engineer,3/23/1987,3/23/1995,Production
105123,Bernd,Schwaller,Senior Staff,8/13/1994,1/1/9999,Customer Service
105131,Sandeepan,Sidou,Engineer,1/19/1986,1/19/1993,Production
105143,Tse,Dulli,Engineer,8/16/1987,8/15/1992,Development
105146,Martins,Katzenelson,Senior Staff,10/28/1994,1/1/9999,Customer Service
105152,Mikhail,Cesareni,Senior Staff,9/27/1985,1/1/9999,Customer Service
105162,Heon,Alencar,Senior Staff,2/28/1993,1/1/9999,Finance
105167,Lillian,Comyn,Senior Staff,6/23/2002,1/1/9999,Research
105184,Mabo,Luck,Senior Staff,7/31/1996,1/1/9999,Finance
105202,Susumu,Jording,Senior Staff,4/20/1994,1/1/9999,Customer Service
105204,Ennio,Schaad,Senior Staff,11/14/1988,1/1/9999,Sales
105208,Moon,Grospietsch,Senior Engineer,1/25/1987,1/1/9999,Development
105222,Gaetan,Weiland,Engineer,5/21/1986,5/21/1995,Production
105223,Jiakeng,Manders,Engineer,12/2/1985,12/2/1991,Development
105226,Murthy,Menyhert,Staff,8/3/1999,1/1/9999,Sales
105234,Frederique,Navazio,Engineer,10/2/1992,10/2/2000,Development
105239,Bartek,Perl,Senior Staff,5/11/1999,1/1/9999,Marketing
105241,Arra,Ulupinar,Engineer,4/27/1987,4/26/1992,Development
105259,Mohamadou,Wiegley,Engineer,7/21/1997,1/1/9999,Development
105261,Domenick,Rullman,Senior Engineer,1/14/1994,1/1/9999,Research
105264,Chrisa,Simkin,Senior Staff,7/10/2002,1/1/9999,Sales
105278,Hisao,Gyimothy,Senior Staff,3/13/1996,1/1/9999,Customer Service
105291,Nagui,Goldhammer,Senior Staff,2/20/1991,1/1/9999,Customer Service
105296,Conor,Peha,Staff,5/7/1999,1/1/9999,Sales
105304,Nikolaus,Steinauer,Engineer,6/5/1986,6/5/1993,Production
105311,Mohammad,Conry,Staff,10/10/1996,1/1/9999,Finance
105313,Richara,McFarlin,Senior Staff,7/7/1986,1/1/9999,Human Resources
105319,Tru,Rebaine,Senior Staff,8/2/1995,1/1/9999,Customer Service
105326,Almudena,Comte,Assistant Engineer,1/19/1987,1/19/1996,Development
105328,Alain,Hoppenstand,Technique Leader,11/12/1993,1/1/9999,Research
105346,Pradeep,Gluchowski,Engineer,12/15/1986,12/15/1993,Production
105357,Martien,Billawala,Engineer,7/23/1985,7/23/1990,Development
105365,Iara,Backhouse,Senior Engineer,12/23/1986,1/1/9999,Quality Management
105388,Sarita,Lorch,Engineer,7/14/1987,7/13/1992,Development
105391,Vidya,Peac,Engineer,11/11/1998,1/1/9999,Production
105396,Sajjan,Strehl,Senior Staff,10/10/1995,1/1/9999,Sales
105401,Babette,Anguita,Engineer,7/27/1999,1/1/9999,Development
105406,Hongzhu,Viele,Senior Staff,1/23/1995,1/1/9999,Customer Service
105408,Adit,Gihr,Engineer,11/6/1987,11/6/1994,Development
105410,Foong,Morton,Engineer,12/3/1988,12/4/1995,Development
105417,Rajmohan,Matzel,Engineer,12/6/1995,12/5/2000,Development
105421,Sadun,Schrooten,Senior Staff,2/15/1985,1/1/9999,Human Resources
105425,Minghong,Peir,Senior Staff,7/27/1995,1/1/9999,Marketing
105441,Abdelghani,Haldar,Senior Staff,4/3/1985,1/1/9999,Sales
105466,Shih,Servi,Senior Staff,3/6/1994,1/1/9999,Human Resources
105485,Magy,Danner,Technique Leader,3/21/1985,1/1/9999,Development
105489,Jasminko,Sadowski,Senior Staff,10/28/1993,1/1/9999,Sales
105498,Shuzo,Kohling,Engineer,3/13/1987,3/13/1994,Quality Management
105515,Mototsugu,Kandlur,Assistant Engineer,5/2/1988,5/2/1994,Production
105521,Toshiko,Hofman,Senior Staff,11/1/1996,1/1/9999,Sales
105532,Christophe,Sluis,Engineer,9/10/1994,9/9/2000,Development
105533,Zijian,Falby,Engineer,1/11/1986,1/11/1993,Quality Management
105541,Otmar,Gils,Technique Leader,9/23/1995,1/1/9999,Production
105543,TRUE,Fabrizio,Engineer,11/25/1986,11/25/1993,Development
105544,Feiyu,Mitsuhashi,Senior Engineer,8/29/1994,1/1/9999,Development
105546,Dhritiman,Coombs,Senior Engineer,7/2/1988,1/1/9999,Development
105560,Dmitri,Zeleznik,Engineer,12/18/1992,12/18/1997,Development
105561,Mariangiola,Baja,Engineer,1/30/1989,1/31/1996,Production
105564,Jaihie,Parhami,Engineer,1/31/1994,1/31/1999,Development
105572,Vivian,Haldar,Senior Staff,5/11/1997,1/1/9999,Sales
105581,Rasikan,Hanabata,Engineer,1/30/1986,1/30/1991,Research
105587,Kwun,Demri,Engineer,1/31/1987,1/31/1995,Development
105593,Kankanahalli,Liesche,Senior Staff,10/27/1994,1/1/9999,Human Resources
105595,Gino,Hmelo,Senior Staff,6/9/1998,1/1/9999,Sales
105601,Shridhar,Skafidas,Senior Staff,7/15/1996,1/1/9999,Human Resources
105603,Masoud,Sommer,Senior Staff,1/16/1992,1/1/9999,Sales
105618,Kazunori,Bugaenko,Staff,11/23/1998,1/1/9999,Research
105633,Dmitry,Androutsos,Engineer,8/7/1996,1/1/9999,Development
105634,Szabolcs,Mullainathan,Staff,10/19/1996,1/1/9999,Sales
105637,Remko,Tagansky,Engineer,9/5/1985,9/5/1991,Development
105662,Jinpo,Hoogerwoord,Senior Staff,5/3/1994,1/1/9999,Sales
105665,Tonia,Falco,Senior Staff,6/29/1990,1/1/9999,Sales
105670,Arumugam,Rijsenbrij,Engineer,6/20/1998,1/1/9999,Development
105674,Lalit,Kropatsch,Engineer,4/29/1986,4/29/1995,Production
105681,Pranav,Mikschl,Engineer,6/22/1988,6/22/1993,Development
105682,Kerhong,Juneja,Senior Staff,12/25/1992,1/1/9999,Marketing
105705,Ghassan,Mellouli,Assistant Engineer,3/31/1987,3/30/1996,Quality Management
105716,Ipke,Milicia,Engineer,7/24/1991,7/23/2000,Production
105722,Maik,Riefers,Staff,12/28/1997,1/1/9999,Sales
105726,Jagoda,Randt,Senior Staff,8/14/1994,1/1/9999,Customer Service
105738,Qiwen,Jenevein,Senior Staff,11/27/1987,1/1/9999,Marketing
105739,Zine,Journel,Senior Engineer,10/15/1996,1/1/9999,Production
105766,Boutros,Callaway,Senior Staff,2/22/2002,1/1/9999,Sales
105776,Lokesh,Chinen,Engineer,2/25/1991,2/25/1996,Development
105781,Billur,Rousseau,Senior Staff,10/17/1996,1/1/9999,Marketing
105786,Ymte,Goodrum,Assistant Engineer,4/11/1985,4/11/1991,Production
105789,Qingxiang,Fordan,Senior Staff,2/6/1992,1/1/9999,Sales
105800,Golgen,Baig,Senior Staff,5/10/1997,1/1/9999,Sales
105809,Remko,Frolund,Senior Engineer,7/12/1986,1/1/9999,Production
105810,Subhankar,Shihab,Engineer,5/2/1985,5/2/1993,Production
105817,Mihalis,Junot,Senior Engineer,6/5/1990,1/1/9999,Development
105839,Ziyad,Rosca,Engineer,9/24/1988,9/24/1997,Development
105852,Filipe,Beetstra,Senior Staff,12/26/1995,1/1/9999,Sales
105860,Heeju,Juneja,Senior Engineer,8/16/1995,1/1/9999,Development
105876,Eldridge,Junet,Senior Engineer,9/16/1987,1/1/9999,Production
105878,Dhritiman,Malabarba,Engineer,5/12/1986,5/12/1991,Customer Service
105884,Arvind,Esposito,Engineer,8/7/1986,8/7/1991,Production
105886,Stafford,Mitchem,Senior Staff,4/15/2002,1/1/9999,Sales
105889,Constantino,Blokdijk,Senior Staff,6/24/1998,1/1/9999,Marketing
105910,Guozhong,Zaccaria,Assistant Engineer,4/22/1993,4/22/2000,Development
105915,Marsal,Pearson,Engineer,7/21/1986,7/21/1993,Development
105921,Willard,Gubsky,Senior Staff,1/31/1995,1/1/9999,Sales
105926,Shahid,Mansanne,Senior Staff,9/12/1994,1/1/9999,Research
105934,Gor,Langford,Senior Staff,3/3/1993,1/1/9999,Customer Service
105935,Danai,Koshiba,Senior Staff,6/10/1991,1/1/9999,Research
105965,Djelloul,Kolvik,Staff,1/2/2000,1/1/9999,Marketing
105981,Bedir,Tyugu,Engineer,6/16/1985,6/16/1993,Production
105987,Vojin,Geffroy,Senior Staff,6/1/1989,1/1/9999,Human Resources
105991,Ronnie,Raczkowsky,Engineer,4/18/1988,4/19/1995,Production
105998,Herb,Sanella,Engineer,12/4/1995,12/3/2000,Production
106003,Przemyslawa,Kemmerer,Technique Leader,3/10/1992,1/1/9999,Development
106007,Trygve,Ligten,Technique Leader,3/13/1985,1/1/9999,Production
106011,Youpyo,Takanami,Senior Staff,2/2/1994,1/1/9999,Sales
106031,Hein,Peron,Engineer,12/5/1993,12/5/1999,Production
106040,Atreye,Terekhov,Senior Staff,4/14/1993,1/1/9999,Human Resources
106042,Jiann,Calkin,Technique Leader,3/1/1989,1/1/9999,Development
106048,Urs,Schlumberger,Engineer,10/13/1985,10/13/1991,Development
106049,Tran,Zhang,Senior Staff,9/7/2001,1/1/9999,Sales
106063,Florian,Baaz,Senior Staff,8/28/1993,1/1/9999,Marketing
106083,Jacopo,Panangaden,Engineer,10/1/1994,1/1/9999,Development
106091,Mark,Nittel,Senior Staff,4/12/1993,1/1/9999,Finance
106095,Zengping,Staelin,Senior Staff,2/21/1995,1/1/9999,Human Resources
106107,Hidde,Undy,Engineer,11/13/1985,11/13/1990,Development
106113,Shigenori,Gill,Assistant Engineer,6/5/1988,6/5/1994,Quality Management
106121,Moni,Tiemann,Technique Leader,5/25/1988,1/1/9999,Production
106132,Yinlin,Schapiro,Engineer,5/8/1989,5/8/1994,Development
106133,Guadalupe,Heijenga,Senior Staff,12/15/1992,1/1/9999,Sales
106161,Rafael,Baba,Senior Engineer,5/23/1987,1/1/9999,Development
106163,Moto,Marwedel,Engineer,3/12/1987,3/12/1994,Production
106166,Sahrah,Lukaszewicz,Engineer,10/26/1997,1/1/9999,Production
106177,Zongyan,DuCasse,Senior Engineer,12/17/1992,1/1/9999,Quality Management
106186,Gonzalo,Sewelson,Senior Staff,9/7/1995,1/1/9999,Sales
106187,Kazuyasu,Rassart,Senior Staff,10/24/1997,1/1/9999,Sales
106190,Rosalyn,Kobuchi,Senior Staff,3/8/1988,1/1/9999,Marketing
106192,Alejandra,Calkin,Senior Engineer,9/24/1989,1/1/9999,Research
106197,Geraldo,Ciolek,Engineer,12/14/1998,1/1/9999,Production
106198,Ayakannu,Uhrig,Senior Staff,9/21/1995,1/1/9999,Finance
106206,Behnaam,Schlenzig,Assistant Engineer,10/1/1985,10/1/1993,Development
106212,Kristof,Pluym,Engineer,9/29/1993,9/29/1999,Development
106214,Valdiodio,Demir,Engineer,3/30/1992,3/30/1997,Development
106222,Shim,Uludag,Engineer,4/10/1987,4/9/1992,Development
106240,Shen,Ramras,Assistant Engineer,12/21/1986,12/21/1995,Development
106254,Gian,Lowrie,Senior Staff,3/21/1990,1/1/9999,Sales
106255,Luigi,Furedi,Senior Staff,9/6/1996,1/1/9999,Sales
106256,Yakichi,Michaeli,Engineer,2/10/1990,2/10/1996,Production
106278,Chanjung,Nooteboom,Senior Staff,1/16/1995,1/1/9999,Marketing
106293,Froduald,Schicker,Senior Staff,3/17/1993,1/1/9999,Sales
106307,Gil,Lunn,Technique Leader,7/28/1986,1/1/9999,Production
106317,Lein,Busillo,Senior Staff,3/10/1996,1/1/9999,Research
106319,Jayson,Azulay,Senior Staff,2/15/1992,1/1/9999,Marketing
106320,Lein,Gils,Senior Staff,7/4/1991,1/1/9999,Marketing
106331,Fumiko,Lorch,Engineer,10/17/1990,10/17/1997,Production
106340,Giordano,Plotkin,Assistant Engineer,9/4/1994,1/1/9999,Quality Management
106346,Perry,Cronan,Engineer,9/3/1998,1/1/9999,Development
106355,Lena,Schmiedel,Senior Engineer,10/11/1997,1/1/9999,Research
106364,Bowen,Muhlberg,Senior Staff,12/30/1997,1/1/9999,Human Resources
106383,Yechezkel,Denny,Senior Staff,7/25/1988,1/1/9999,Sales
106411,Anyuan,Marletta,Senior Engineer,3/2/1996,1/1/9999,Quality Management
106417,Kwun,Clouatre,Senior Staff,7/6/2002,1/1/9999,Human Resources
106425,Beshir,Rohrbach,Senior Engineer,8/7/1996,1/1/9999,Production
106435,Collette,Christ,Senior Staff,5/16/1992,1/1/9999,Sales
106441,Erzsebet,Narahari,Senior Staff,4/11/1991,1/1/9999,Marketing
106442,Mihalis,Yeung,Senior Staff,10/12/1999,1/1/9999,Marketing
106447,Tadanori,Herber,Senior Staff,5/6/1994,1/1/9999,Sales
106451,Jiong,Tibblin,Senior Staff,8/1/1997,1/1/9999,Marketing
106457,Toshimitsu,Frezza,Engineer,10/19/1996,1/1/9999,Development
106462,Chanjung,Decaestecker,Technique Leader,12/5/1992,1/1/9999,Development
106463,Janalee,Poulakidas,Senior Staff,6/5/1991,1/1/9999,Research
106465,Nidapan,Guting,Senior Staff,7/25/1995,1/1/9999,Research
106466,Wayne,Anick,Engineer,12/21/1985,12/21/1992,Production
106482,Alselm,Selenyi,Senior Staff,6/25/1995,1/1/9999,Sales
106487,Khalil,Ramsey,Senior Engineer,5/12/1988,1/1/9999,Production
106504,Tremaine,Panangaden,Technique Leader,10/9/1988,1/1/9999,Development
106531,Shuky,Eiron,Engineer,10/14/1985,10/14/1992,Quality Management
106536,Ramachenga,Koblick,Engineer,9/30/1995,1/1/9999,Production
106547,Quingbo,dAstous,Senior Engineer,5/26/1985,1/1/9999,Development
106548,Nechama,Masada,Staff,6/3/1998,1/1/9999,Marketing
106552,Abdulla,Schaap,Engineer,1/21/1987,1/21/1995,Development
106555,Rosalyn,Gaughan,Engineer,7/7/1996,1/1/9999,Production
106558,Otilia,Brobst,Engineer,2/9/1987,2/9/1996,Development
106560,Tsuneo,Baar,Technique Leader,10/27/1988,1/1/9999,Development
106567,Weiye,Chepyzhov,Engineer,10/14/1986,10/14/1994,Production
106582,Yinlin,Coney,Assistant Engineer,6/16/1985,6/16/1992,Production
106584,Petter,Heydon,Engineer,12/18/1985,12/18/1993,Production
106587,Heekeun,Ranka,Engineer,4/20/1997,1/1/9999,Quality Management
106589,Krister,Weedman,Engineer,3/9/1987,3/9/1995,Development
106592,Dipayan,Schade,Senior Staff,4/24/1991,1/1/9999,Customer Service
106606,Yuuichi,Wynblatt,Engineer,8/19/1985,8/19/1994,Development
106611,Shir,Vecchi,Engineer,8/26/1988,8/26/1993,Development
106616,Luigi,Braunschweig,Senior Engineer,7/4/1988,1/1/9999,Production
106630,Vojin,Maliniak,Senior Staff,5/2/1987,1/1/9999,Sales
106633,Jinxi,Kugler,Engineer,10/28/1985,10/28/1993,Development
106634,Ingmar,Rettelbach,Senior Staff,8/6/1999,1/1/9999,Research
106645,Mechthild,Murtagh,Assistant Engineer,12/3/1987,12/2/1992,Production
106648,Khue,Masamoto,Engineer,7/31/1994,7/31/2002,Development
106667,Stabislas,Anick,Engineer,7/25/1985,7/25/1994,Production
106670,Uli,Provine,Senior Staff,10/20/1996,1/1/9999,Human Resources
106678,Vishwani,Oppitz,Senior Staff,10/25/1990,1/1/9999,Sales
106679,Mahmut,Tasistro,Assistant Engineer,4/19/1993,4/19/1998,Development
106684,Tayeb,Unno,Senior Staff,10/12/1995,1/1/9999,Customer Service
106690,Shushma,Heyers,Senior Engineer,4/12/1987,1/1/9999,Production
106703,Gennady,Kuzuoka,Engineer,2/17/1985,2/17/1994,Quality Management
106721,Shigehiro,Furedi,Engineer,10/25/1999,1/1/9999,Production
106736,Marla,Raczkowsky,Engineer,6/27/1986,6/27/1994,Production
106737,Shigeu,Rosay,Engineer,5/5/1995,1/1/9999,Development
106743,Alselm,Erez,Engineer,6/7/1996,1/1/9999,Quality Management
106756,Arup,Suessmith,Staff,10/16/1998,1/1/9999,Finance
106764,Bedrich,Bernardinello,Senior Staff,3/12/1995,1/1/9999,Finance
106773,Tokuyasu,Simmel,Engineer,2/11/1986,2/11/1992,Quality Management
106795,Arlette,Binding,Assistant Engineer,9/21/1990,9/20/1996,Production
106797,Aran,Raoux,Engineer,11/26/1987,11/25/1992,Development
106798,Phillip,Dratva,Senior Engineer,10/4/1995,1/1/9999,Development
106819,Takahira,Coombs,Senior Staff,8/20/1997,1/1/9999,Customer Service
106836,Yurii,Ghemri,Senior Staff,3/11/1993,1/1/9999,Sales
106838,Hatem,Luke,Senior Staff,1/17/1999,1/1/9999,Sales
106843,Mansur,Miara,Engineer,3/6/1985,3/6/1992,Production
106845,Urs,Niizuma,Engineer,3/18/1997,1/1/9999,Quality Management
106868,Roselyn,Tagansky,Senior Engineer,12/13/1989,1/1/9999,Production
106869,Claudi,Mullainathan,Senior Staff,8/27/2000,1/1/9999,Human Resources
106877,Temple,Hemaspaandra,Senior Staff,5/21/1993,1/1/9999,Sales
106897,Susanna,Chaudhury,Senior Staff,10/6/1991,1/1/9999,Sales
106914,Ayakannu,Zuberek,Senior Staff,1/20/1994,1/1/9999,Customer Service
106928,Hongzhu,Merks,Engineer,12/12/1991,12/11/1996,Development
106933,Moni,Rahimi,Senior Staff,11/8/1996,1/1/9999,Finance
106935,Kazuhiko,Farrow,Senior Staff,7/28/1988,1/1/9999,Sales
106942,Eckart,Klassen,Senior Staff,6/11/1995,1/1/9999,Research
106943,Fai,Pintelas,Engineer,6/11/1985,6/11/1992,Production
106946,Oksana,Luiz,Senior Staff,12/7/1991,1/1/9999,Sales
106953,Navid,Riesenhuber,Senior Staff,3/12/1988,1/1/9999,Customer Service
106981,Maren,Vilarrasa,Assistant Engineer,6/9/1985,6/9/1992,Development
106985,Adhemar,Pfau,Engineer,4/18/1986,4/18/1995,Development
106987,Naftali,Gist,Senior Staff,9/20/1991,1/1/9999,Human Resources
106994,Becky,Penttonen,Assistant Engineer,7/16/1985,7/16/1990,Production
107000,Bowen,Uchoa,Technique Leader,3/28/1987,1/1/9999,Production
107018,Temple,Braunmuhl,Senior Engineer,8/22/1988,1/1/9999,Development
107019,Noritoshi,Majewski,Senior Staff,11/9/1995,1/1/9999,Sales
107025,Geoff,Sidje,Engineer,7/13/1988,7/13/1996,Production
107032,Navid,Schlenzig,Senior Staff,12/1/1994,1/1/9999,Research
107053,Chinho,Macedo,Senior Staff,6/27/1987,1/1/9999,Sales
107077,Faiza,Dichev,Engineer,8/11/1986,8/11/1995,Production
107090,Stein,Ferretti,Engineer,3/1/1987,2/29/1996,Development
107101,Moni,Crabtree,Engineer,4/24/1997,4/24/2002,Production
107103,Ranga,Schapire,Senior Staff,7/27/1989,1/1/9999,Finance
107110,Wonhee,Lodder,Engineer,5/19/1998,1/1/9999,Development
107113,Sushant,VanScheik,Senior Staff,7/15/1994,1/1/9999,Sales
107118,Jordanka,Skogmar,Senior Staff,2/13/1992,1/1/9999,Research
107119,Brewster,Ouhyoung,Technique Leader,5/3/1989,1/1/9999,Production
107131,Lijie,Streng,Technique Leader,7/12/1988,1/1/9999,Development
107134,Oscar,Rosti,Engineer,5/14/1987,5/14/1994,Quality Management
107145,Munehiko,Zielinski,Senior Staff,12/15/1996,1/1/9999,Marketing
107160,Wayne,Christianini,Engineer,10/11/1985,10/11/1994,Production
107173,Kellie,Luga,Engineer,10/30/1985,10/30/1990,Production
107205,Kasturi,Granlund,Senior Engineer,2/24/1989,1/1/9999,Production
107209,Leszek,Zaiane,Senior Staff,12/22/2000,1/1/9999,Research
107245,Horward,Docker,Senior Staff,5/5/2002,1/1/9999,Finance
107246,Eran,Naudin,Engineer,3/8/1985,3/8/1990,Development
107254,Dmitry,Simmen,Senior Engineer,6/16/1997,1/1/9999,Development
107258,Parviz,Zaumen,Staff,3/25/1999,1/1/9999,Sales
107262,Feiyu,Butterworth,Assistant Engineer,8/4/1991,8/3/1997,Development
107264,Josyula,Chinin,Engineer,8/27/1985,8/27/1994,Development
107276,Maja,Badache,Engineer,11/30/1993,11/30/2001,Production
107285,Valeri,Alameldin,Senior Staff,10/1/1992,1/1/9999,Customer Service
107290,Reinhard,Jakobus,Engineer,9/17/1988,9/17/1993,Development
107292,Lokesh,Weiland,Senior Staff,11/8/1995,1/1/9999,Research
107293,Haldon,Ballarin,Staff,2/16/1999,1/1/9999,Sales
107307,Eberhardt,Boyle,Senior Staff,12/20/1998,1/1/9999,Sales
107320,Giordano,Chepyzhov,Engineer,1/14/1987,1/14/1995,Development
107329,Shigenori,Kavvadias,Senior Staff,7/13/2000,1/1/9999,Marketing
107330,Navid,Bednarek,Staff,9/23/1999,1/1/9999,Sales
107332,Dmitry,Emmart,Senior Staff,5/22/1987,1/1/9999,Customer Service
107340,JiYoung,Peroz,Assistant Engineer,10/4/1991,10/3/1997,Production
107341,Felicidad,Garnick,Senior Staff,5/17/1995,1/1/9999,Customer Service
107346,Arto,Kobuchi,Senior Staff,3/26/1993,1/1/9999,Human Resources
107359,Xiong,Lamma,Senior Staff,12/4/1992,1/1/9999,Sales
107380,Matt,Demos,Senior Staff,11/21/1997,1/1/9999,Sales
107383,Heon,Pargas,Senior Staff,10/21/1999,1/1/9999,Sales
107386,Nimmagadda,Uhrig,Engineer,3/10/1997,1/1/9999,Production
107391,Jaideep,Steinauer,Engineer,9/26/1985,9/26/1992,Development
107392,Chinho,Panangaden,Engineer,6/12/1987,6/11/1993,Development
107406,Chanjung,Bernick,Staff,8/23/1999,1/1/9999,Sales
107409,Junichi,Oskamp,Senior Staff,1/25/1994,1/1/9999,Customer Service
107413,Val,Markovitch,Engineer,3/14/1997,1/1/9999,Production
107425,Khaled,Bojadziev,Assistant Engineer,3/4/1985,3/4/1993,Development
107440,Shimshon,Dulli,Senior Engineer,11/1/1986,1/1/9999,Production
107452,Shridhar,Bharadwaj,Senior Staff,12/24/1986,1/1/9999,Research
107458,Zengping,Taneja,Engineer,6/26/1987,6/26/1995,Quality Management
107466,Goo,Champarnaud,Technique Leader,10/25/1992,1/1/9999,Development
107474,Taiji,Goodrum,Senior Staff,2/23/1993,1/1/9999,Sales
107488,Moto,Swiler,Engineer,4/24/1997,1/1/9999,Development
107491,Paris,Dichev,Engineer,1/20/1987,1/19/1993,Production
107500,Karoline,Masada,Senior Staff,11/22/1998,1/1/9999,Customer Service
107504,Shao,Hoppenstand,Engineer,6/22/1986,6/22/1993,Development
107506,Kenroku,Guting,Senior Engineer,12/30/1999,1/1/9999,Production
107508,Rajmohan,Mapelli,Senior Staff,12/19/2000,1/1/9999,Sales
107517,Haldon,Nannarelli,Staff,8/20/1996,1/1/9999,Sales
107531,Marie,Kugler,Engineer,8/6/1988,8/6/1996,Production
107540,Jaques,Soloway,Senior Staff,3/19/1985,1/1/9999,Sales
107550,Aris,DasSarma,Engineer,3/27/1988,3/27/1994,Production
107553,Janche,Nittel,Senior Engineer,12/23/1987,1/1/9999,Production
107554,Zvonko,Conry,Senior Staff,6/8/1995,1/1/9999,Sales
107570,Zine,Lueh,Senior Staff,3/21/1993,1/1/9999,Human Resources
107593,Freyja,Schwaller,Engineer,4/21/1988,4/21/1993,Quality Management
107597,Vasilis,Schaft,Senior Engineer,12/1/1992,1/1/9999,Production
107620,Gift,Katiyar,Engineer,4/7/1986,4/7/1994,Production
107623,Yagil,Kilgour,Engineer,5/25/1988,5/26/1995,Research
107625,Quingbo,Schwabacher,Assistant Engineer,9/9/1998,1/1/9999,Development
107669,Shirish,Kermarrec,Senior Engineer,11/22/1985,1/1/9999,Production
107674,Xuejia,Saoudi,Senior Staff,9/28/1986,1/1/9999,Finance
107682,Georgi,Leonhardt,Engineer,3/12/1991,3/12/1998,Research
107684,Uma,Chandrasekhar,Senior Staff,11/5/1992,1/1/9999,Sales
107693,Kenton,Bharadwaj,Staff,7/9/1995,1/1/9999,Sales
107695,Babette,Cmelik,Engineer,2/12/1988,2/11/1997,Development
107712,Sumant,Birjandi,Senior Staff,5/17/1998,1/1/9999,Sales
107718,Ibibia,Dehkordi,Engineer,10/9/1999,1/1/9999,Quality Management
107732,Nigel,Encarnacion,Engineer,2/9/1988,2/8/1994,Development
107744,Arno,Karner,Senior Staff,7/18/1990,1/1/9999,Marketing
107746,Kish,Barbanera,Staff,8/4/1997,1/1/9999,Marketing
107747,Cathie,Erman,Senior Staff,11/25/1986,1/1/9999,Sales
107748,Serap,Picht,Senior Staff,4/12/1996,1/1/9999,Finance
107759,Golgen,Coorg,Senior Staff,12/21/1991,1/1/9999,Human Resources
107764,Moie,Mersereau,Engineer,12/30/1997,1/1/9999,Development
